title ,text ,subject,label
"Terbongkar! @Prabowo Selain Stroke Juga Mengidap Schizophrenia, Berpotensi Gila",Keputusan keluarga besar minta Prabowo agar tidak nyapres 2019 sangat logis Kondisi kesehatan Prabowo tidak fit seperti sebelum mengalami stroke 3 kali Stroke pertama terjadi tak lama setelah Pilpres 2009 Prabowo tdk terima kalah dicurangi habis2an Puluhan juta suara palsu — Daulat (@DaulatDalimunte) ,Fitnah,FAKE
Obat Progesterex Untuk Memperkosa Wanita,"TOLONG DI BACA dan SEBARKAN INFORMASI PENTING* dari Bpk. *Agus Susanto* *Sat Narkoba Polres Kab Tangerang* Yang Punya ANAK gadis, ADIK perempuan, KAKAK perempuan atau ANDA sendiri, semua yang berbau PEREMPUAN.....!!! informasi penting ..... Telah beredar sebuah obat baru yg bernama *""Progesterex""* Obat ini adalah pil kecil yg digunakan untuk mensterilisasi. Obat ini sekarang dipakai oleh para pemerkosa pada ~Perayaan pesta Pub, Discotique ~Perayaan Reuni dsbnya untuk memperkosa & mensterilisasi korbannya Progesterex dasarnya dijual di beberapa dokter hewan & toko binatang,& digunakan untuk hewan besar. Obat tersebut biasanya digunakan bersamaan dengan Rohypnol (Roofies) semacam obat bius, Pembeliannya harus menggunakan resep dokter. Rohypnol ini semacam *effervescent tablet* yang cepat larut didalam air. Pelaku hanya tinggal memasukan *Rohypnol & Progesterex* kedalam minuman & Korban tidak akan pernah ingat apa yang telah terjadi pada malam/pagi/siang/ sore itu & Progesterex akan membuat si wanita TIDAK AKAN HAMIL Hingga si pemerkosa akan tetap bebas berkeliaran. Tetapi yang perlu diperhatikan, *EFFECT PROGESTEREX GAK SEMENTARA* Progesterex dibuat untuk mensterilkan kuda, jerapah & binatang besar lainnya. Setiap wanita yang telah meminumnya *TIDAK AKAN PERNAH MENGANDUNG LAGI SEUMUR HIDUPNYA* Kalau bisa di share sekarang !!! *PEDULI PEREMPUAN*,, Harap Di Share ke teman2 dan saudara yang lain karena sangat bermanfaat !!! NB : *Jangan Pernah menerima minuman dari laki laki yg tidak kita kenal dgn alasan ingin berkenalan atau tdk kita kenal baik* Semoga bermanfaat. Informasi dari : *Mabes POLRI,* *DepKes dan DPP YPKMI* *(Yayasan* *Peduli Kesehatan Masyarakat Indonesia).",Kriminal,FAKE
Buat cebong jangan nyinyir terus kalo bukti di tangan kita kalian mau apa,"Buat cebong jngn nyinyir trus klo bukti udh d tangn kita klian mu apa klian jual saya bOrong buat saudar""ku rapatkan barisan jngn d kasi kendor dn buat alumni 212 pantau trus smpek pilpres selesai insa ALLAH kemenangn ada d tangan kita amin YAROBBAL alamin",Politik,FAKE
Makruf Amin. Jokowi pewaris Indonesia karena Beliau Cucu Sunan Kali Jaga.,"""Menurut kyai makruf jokowi keturunan Sunan Kali Jaga sudah sepantasnya mewarisi indonesia.Beliau pantas menjadi pewaris Indonesia..krn kakek buyutnya adalah seorang pejuang dan penyiar Agama Islam yg sangat di hormati dari kalangan kesultanan.beliau juga mempunyai hati seorang pejuang yg pemberani dan beliau tetap akan berjuang untuk mensejahterakan seluruh Rakyat Indonesia.Perjuangan beliau sudah terbukti dan pantas mendapatkan warisan Indonesia yg berdaulat Adil dan makmur",Politik,FAKE
GARAM TIDAK BOLEH DIMASAK !!!,"""“KENAPA SEBELUM MAKAN NABI SELALU MAKAN GARAM…??LAGI LAGI AJARAN ISLAM TERBUKTI KEBENARANNYA TAKUT AKAN PENYAKIT YANG TIMBUL DARI GARAM ??? INI CARA RASUL MENGKONSUMSI GARAM Nabi Muhammad Sholallohi ‘alaihi wassallam bersabda : “Sebaik-baik lauk adalah garam” (Al-Baihaqi). SEBAIK BAIK LAUK ADALAH GARAM. Sangat bertentangan dengan dunia medis saat ini yang mengatakan bahwa makan garam bisa menyebabkan berbagai penyakit seperti darah tinggi, dehidrasi, keropos tulang dan penyakit empedu, namun hal itu tidak akan terjadi jika Anda mengetahui cara mengkonsumsi garam dengan baik dan secara benar ; Sesuai Sunnah Rasul. Begini Cara Mengkonsumsi Garam Agar Terhindar Dari Penyakit ( Ala Rasul SAW ). Jadi sesuai dengan hadist diatas yang menyatakan Garam bukanlah penyebab penyakit, tapi malah obat yang paling mujarab seandainya digunakan dengan cara yang betul. Kuncinya adalah GARAM TIDAK BOLEH DIMASAK !!!. ingat tidak boleh dimasak !!! Kesalahan kita ( kebanyakan orang Indonesia ) ialah kita memasak garam yaitu memasukkan garam kedalam masakan ketika masakan sedang MENDIDIH / PANAS. *Hal tersebut akan menyebabkan garam menjadi racun/ toksik *Jika garam dimasak dengan cara di atas, *garam akan menyebabkannya ber-asid dan membahayakan kesehatan serta *mengundang berbagai penyakit,selain itu *kandungan yodium pada garam juga akan hilang dengan percuma.Ingat yodium sangat bermanfaat untuk kesehatan tubuh kita.""",Kesehatan,FAKE
HIV dalam Makanan Kaleng,"Maaf yaa BC krn Penting ,tolong beritahukan anak2 ,suami ,isteri dan semua teman2 mu.Perhatian ;mulai saat ini jangan makan makanan kalengan2an, terutama buah2an, termasuk merek taiwan keluaran Thailand.Karena di negara nya ada kira2 dua ratus orang penyakit aids kerja di pabrik kalengan ,dan mereka masukkan darah ( racun )mereka ke dalam kalengan2 itu , dan hari ini masalah tersebut telah diketahui bagian Tim Kesehatan thailand, dan kaleng2an nya tersebut telah di sita.Contoh ; lecy ,rambutan ,lengkeng ,mangga puding ,dll. setelah terima cepat kirim ke teman2mu semua. Agar tidak konsumsi kalengan apapun...... Demi kesehatan.trimakasih",Kesehatan,FAKE
"BJ Habibie; ""Bila akalnya sehat pasti pilih Prabowo""","Simak baik2, agar kita memiliki keWaspadaan tinggi, krn LAWAN Terberat Pak Prabowo adalah ""KECURANGAN"" Confirm yah dgn apa yg saya katakan Kemarin !!! Bantu saya utk VIRAL kan Tulisan saya kemarin, Tentang Pak Prabowo, Terimakasih “BJ Habibie Mengatakan : ” Lawan Berat Pak PRABOWO itu bukan jokowi kalau hanya sekedar jokowi Jalan Mudah Buat Pak PRABOWO menuju Kepemimpinan periode berikutnya di 2019, Kenapa Saya Katakan Begitu karena saya tau siapa prabowo dan saya juga tau sebagai pelaku sejarah yang asli pada masa itu. Lawan Terberat Pak PRABOWO itu Hoaxs dan Fitnah yang sengaja di hembuskan kelompok2 cyber bayaran yang di telan mentah-mentah sebgaian rakyat dengan pendidikan rendah. Selebihnya tidak ada “ujar habibie kepada CNN,dalam wawancara dalam tajuk Setelah 20 tahun Reformasi!! Semakin cerdas rakyat & semakin tinggi tingkat pendidikan seseorang, bila akalnya sehat pasti pilih Prabowo.",Politik,FAKE
INGAT PESAN KH. AHMAD DAHLAN 1 ABAD YANG LALU,"PESAN KH. AHMAD DAHLAN 1 ABAD YANG LALU ""Perhatikanlah alam dan bangsamu, jika disuatu bangsa yang beriman, mereka mengaku sebagai pemimpin yang baik, namun jika terjadi kerusakan akibat bencana alam yang berturut-turut, maka itu pertanda rusak pemimpin mu. Jika rusak pemimpin mu maka rusaklah tatanan masyarakat mu, mereka saling memfitnah, saling menghujat, saling mencela tak bisa terhindarkan, di saat itu Allah memberi peringatan bagimu dengan berupa musibah yang tiada henti.""",Politik,FAKE
Pesan Pesan Steve Guoves,"Steve Guoves , seorang miliarder berusia 56 tahun, meninggal dunia akibat kanker paskreas. Berikut merupakan kalimat-kalimat terakhirnya: Bagi orang lain, kehidupan saya merupakan sebuah kesuksesan, namun selain pekerjaan, saya hanya memiliki sedikit kebahagiaan, dan pada akhirnya kekayaan hanyalah sebuah hal yang biasa bagi saya.Pada saat ini, terbaring sakit dan mengingat kembali kehidupan saya, saya sadar bahwa seluruh ketenaran dan kekayaan yang saya miliki kini tidak ada artinya di depan kematian yang semakin mendekat. Kau bisa membayar seseorang untuk mengendarai mobil untukmu, menghasilkan uang untukmu, tetapi kau tidak bisa menyuruh seseorang untuk menanggung penyakitmu. Setiap orang dapat mencari hal-hal materil. Namun, ”kehidupan” merupakan hal yang tidak bisa dicari apabila telah hilang. Hargai hidupmu dan hargai orang lain. Semakin tua kita semakin pintar dan perlahan kita sadar jam tangan baik itu berharga USD 30 maupun berharga USD 300, keduanya menunjukkan waktu yang sama. Apakah dompet kita berharga USD 30 ataupun USD 300, jumlah uang yang terdapat didalamnya tetap sama. Baik kita mengendarai mobil seharga USD 150,000 maupun seharga 30,000, jalan dan jarak yang harus kita tempuh tetap sama, pun dengan tempat yang kita tuju. Jika kita minum dengan sebuah botol seharga USD 300 ataupun anggur seharga USD 10, ‘keranjang’ yang digunakan pun tetap sama. Jika kita hidup di rumah seluas 300 meter2 ataupun seluas 3.000 meter2, kesepiannya tetap sama. Kabahagian sesungguhnya tidak datang dari hal-hal materil di dunia ini. Baik anda terbang dengan kelas ekonomi ataupun kelas pertama, jika pesawat itu hancur, maka anda pun ikut hancur. Jadi, saya harap anda mengerti bahwa kebahagiaan yang sesungguhnya yaitu apabila anda memiliki teman ataupun seseorang untuk berbagi cerita. Lima fakta tak terbantahkan menurut Steve Guoves: 1. Jangan didik anak anda untuk menjadi kaya. Didik mereka untuk menjadi bahagia. Agar ketika mereka dewasa mereka akan memahami arti dari suatu barang, bukan harganya. 2. Makanlah makanan anda layaknya obat, atau obat yang akan menjadi makanan anda. 3. Siapapun yang mencintaimu tidak akan pernah meninggalkanmu. Meskipun ia memiliki 100 alasan untuk itu, dia akan selalu menemui satu alasan untuk bertahan. 4. Terdapat perbedaan besar antara menjadi manusia dan seperti manusia. 5. Jika anda ingin pergi dengan cepat, lakukan sendiri! Tapi jika anda ingin pergi jauh, lakukan bersama-sama! Dan pada akhirnya, terdapat 6 dokter terbaik di dunia: 1. Sinar matahari 2. Istirahat 3. Olahraga 4. Diet 5. Kepercayaan diri 6. Teman Lakukan semua dalam setiap jangka kehidupan dan nikmatilah hidup yang sehat. “Cintailah orang-orang yang Tuhan kirimkan untukmu, kau akan membutuhkan mereka suatu saat nanti.” ""sumber: grup WA tetangga. please like and share,""",Kesehatan,FAKE
"Artikel Sangat Berharga: Pengakuan Jujur Jusuf Kalla, Perjuangan Moral Jokowi","Akhirnya Tabir Kebenaran Terbuka … Teman teman bacaLah pengakuan seorang JK berikut sbg ♥️Saksi sejarah Indonesia♥️ 🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸 *ARTIKEL SANGAT BERHARGA* Pengakuan jujur Jusuf Kalla terhadap keberhasilan Joko Widodo dalam mengelolah negara, sehingga Indonesia perlahan lolos dari beban utang peninggalan era Soeharto dan masa SBY, yang telah membuat Indonesia harus menanggung utang hingga Rp. 6000 triliun dengan dalih 'subsidi,' yang hanya memperkaya dirinya sendiri dan konco-konconya; silahkan membaca tulisan berikut sampai selesai, agar kita paham mengapa kini Indonesia perlahan menjadi negara hebat di Asia dalam kurun waktu yang tidak terlalu lama di era Joko Widodo. ""PERJUANGAN MORAL JOKOWI bagi INDONESIA"" Wakil Presiden Republik Indonesia, Jusuf Kalla (JK) dalam sambutannya di acara ""Simposium Ekonomi"" di MPR RI, Senayan, mengatakan bahwa ada 2 kebijakan keliru yang dilakukan pemerintah era Soeharto dan SBY, sehingga menghabiskan anggaran Rp. 6000 triliun. Kebijakan itu menjadi salah satu penyebab ketertinggalan Indonesia dari negara-negara tetangga. Satu kebijakan era Soeharto dan satu lagi era SBY. Selama 32 tahun Soeharto berkuasa, tidak ada riak yang berarti untuk menghentikannya. Saat Soeharto jatuh, tatkala fundamental ekonomi yang disimpan rapat bertahun-tahun terbuka lebar oleh aksi George Soros terkuak. Nyatanya berpuluh tahun kita menyimpan data busuk dan kebohongan. Tidak ada kekuatan ekonomi secara nyata. Tidak ada. Soeharto tidak punya rencana hebat untuk membuat Indonesia hebat dalam sektor ekonomi, kecuali hanya menggali lubang sedalam-dalamnya melalui hutang tanpa rencana ril untuk merubah Indonesia menjadi lebih baik. Dari jumlah hutang yang digali Soeharto hanya 30% yang digunakan untuk membangun Indonesia. Selebihnya habis dikorup oleh mereka yang menopangnya menjadi penguasa selama 32 tahun. Akibat kebijakan yang diambilnya sebelum jatuh adalah menanda tangani LoI dengan IMF sebagai blank cheque yang harus diselesaikan oleh rezim setelahnya. Beban masalah yang ditinggalkan Soeharto kalau dikurskan sekarang dan ditambah dengan bunga obligasi rekap mencapai Rp. 3000 triliun. Era Habibie, Gus Dur, dan Megawati merupakan era tersulit bagi kita untuk berdamai dengan kenyataan. Indonesia dinyatakan sebagai negara insolvent. Semua financial resource tertutup. Pemasukan lebih kecil dari pada pengeluaran. Kehidupan politik tidak jelas. Enam tahun proses transisi dari legislasi era Soeharto ke era reformasi seakan waktu terpanjang dalam sejarah. Selama itu tidak ada pembangunan real. Negara stuck. Namun, akhirnya Indonesia bisa keluar dari proses transisi itu dengan terpilihnya SBY sebagai presiden secara demokrasi langsung. Harapan dipagut dan masa depan disongsong dengan ceria. Tapi apa yang terjadi? Selama 10 tahun SBY berkuasa, untuk mempertahankan kekuasaannya dia membakar uang sebesar Rp. 3000 triliun untuk subsidi. Periode 2004 hingga 2014, subsidi energi rata-rata memiliki porsi sebesar 21% dari APBN dan mengalami porsi terbesar pada tahun 2008 yang mencapai 28%. Di dalam subsidi energi, alokasi subsidi BBM adalah yang terbesar dengan mencaplok 80% dari seluruh subsidi energi. Dan menciptakan mega skandal dengan korupsi tak terbilang jumlahnya. Andaikan uang sebanyak itu SBY gunakan untuk membangun jalan tol, maka kita sudah punya jalan tol Trans Sumatera dan Trans Jawa, juga kereta cepat Jakarta-Surabaya dan puluhan kawasan industri berskala internasional, puluhan bendung dan irigasi untuk ketahanan pangan, bahkan setiap kota besar sudah punya MRT. SBY hanya bekerja membuat rencana dan membuang uang untuk ongkos politik, agar kekuasaanya stabil selama dua periode. Era Soeharto kita abaikan, karena salah memilih pemimpin dan takdir kita berhasil mengubah tatanan politik yang diktator menjadi demokrasi. Tetapi setelah demokrasi, kita justru melahirkan gerombolan maling yang menjarah lebih dahsyat dari 32 tahun Soeharto berkuasa. Selama itu tidak ada gerakan agama yang hebat yang hendak menggulingkan Soeharto atau SBY. Tidak ada demo berjilid-jilid hendak menjatuhkannya. Mengapa? Karena para tokoh agama maupun politik mendapat berkah uang dan konsesi bisnis dari politik lendir tebar uang oleh penguasa. Era Jokowi, seorang yang bukan elite politik di tubuh partai, bukan jenderal berkaliber nasional, bukan konglomerat kaya dari bisnis rente, bukan pula tokoh budayawan atau agama yang selebritis. Dia muncul ke panggung politik karena kehendak TUHAN. Tak ada satu pun kekuatan yang mampu menghentikannya, karena Tuhan telah mengirim wakil wakil NYA mengawal Jokowi sehingga si tukang kayu krempeng itu masuk ke Istana Negara dengan selamat tanpa rintangan apapun juga. Inilah takdir dan nasib Bangsa Indonesia yang memang harus berubah dan menjadi baik dan kuat atas kehendak TUHAN serta KuasaNya. Ketika Jokowi berkuasa, *subsidi tipuan seolah memanjakan rakyat dihentikan* Anggaran direformasi secara fundamental dari berorientasi konsumsi ke produksi. Efisiensi anggaran dilakukan dengan sangat ketat. Walau pun diawali dengan fundamental ekonomi yang retak karena current account defisit, Jokowi tetap melaju dengan agenda besarnya. Menciptakan kemandirian, bukan hanya lewat restruktur APBN dan hutang, tetapi juga revolusi mental dengan menghapus semua bisnis rente yang melahirkan mafia di semua lini. Negeri para gangster tersingkir dan menghimpun rakyat dan kader partai positip serta pejabat pejabat bermoral yang mau bekerja keras sehingga dapat mengubah negeri ini jadi para pekerja keras. *Status quo didobraknya, menghentakan tatanan politik yang terbiasa hidup manja berfoya foya dan menipu rakyat* Apa hasilnya? Hanya dua tahun berkuasa, semua rating internasional berkaitan dengan indeks korupsi, pembangunan, dan ekonomi jadi membaik. Sekarang Indonesia termasuk negara peringkat 3 terbaik ekonomi di antara anggota G-20. Saya membayangkan setiap langkah Jokowi tidaklah mudah dan penuh resiko. Karena semua elite politik yang kini ada adalah bagian dari kekuasaan Orde Baru yang pernah kong kali kong dan merampok kekayaan Negara hingga Indonesia dan rakyatnya menjadi sengsara dan meninggalkan beban hutang dan kerugian sebesar Rp. 3000 triliun dan juga bagian dari kekuasaan era SBY yang membakar uang negara sebesar Rp. 3000 triliun demi melanggengkan kekuasanya. Semua mereka ingin, agar si tukang kayu ini dihentikan. Karena Jokowi bukan hanya menghancurkan kekuasaan mereka sebagai ladang bisnis mendatangkan harta mereka, tetapi juga menjadikan rakyat cerdas berpolitik dan mempermalukan elite politik di mana banyaknya elite politik terancam masuk bui karena aksi OTT KPK. Pesta usai. Dulu, Ahok dijadikan pintu gerbang untuk menjatuhkan Jokowi dengan alasan menistakan agama. Dan dari keadaan ini, Jokowi berhasil keluar dengan selamat. Kini, PERPPU Pembubaran Ormas Radikal dijadikan alasan untuk menjatuhkannya, karena dibilang anti demokrasi dan anti Islam. Padahal, tidak ada dalam PERPPU itu yang menyebut Islam atau ormas tertentu. Namun, oleh para gangster mafia menciptakan semua kegaduhan ini, agar pesta kekuasaan kembali marak. Karena itu, emosi agama kembali dibenturkan. Andaikan PERPPU itu ditolak DPR, maka ketahuilah kita bahwa agenda menjatuhkan Jokowi memang datang dari segala penjuru mata angin. Apakah Jokowi akan jatuh? *Jawabannya TIDAK* karena Jokowi adalah panggilan TUHAN untuk menyelamatkan Indonesia ,bangsa dan rakyatnya dari segala kesusahan dan kesulitan dan Tuhan telah mengirim wakil Rakyatnya yaitu Bapak Jokowidodo yang berhak dan pantas berkuasa sebagai pemimpin dan penyelamat bangsa dan rakyat Indonesia. Saya Yusup Kalla sudah tua, namun dengan segenap tenaga saya yang masih ada saya tetap memberikan kontribusi positip pada Jokowidodo dalam membangun Negara Indonesia jadi bangsa besar kuat bermatabat rakyat jadi makmur dan sejahtera. Memang pada saat usia saya yang sudah lebih dari 50 tahun. Saya tak berdaya, dan tidak bisa berbuat banyak untuk menghentikan sepak terjang pada era Soeharto dan penikmat subsidi BBM era SBY, yang membakar uang ribuan triliun. *Apa yang saya lakukan sekarang adalah berusaha setiap hari berbuat kebaikan, agar negara ini lebih baik. Melalui tulisan, lewat interaksi dengan teman-teman politisi dan aktivis, saya berusaha menyampaikan pesan moral bahwa ""bukan sistem yang menjadi masalah, tetapi akhlak kita yang buruk.""* Marilah kita memperbaiki moral. Sudahilah niat mengubah sistem, agar impian makmur menjadi kenyataan. Perbaiki akhlak dan perbaiki etos kerja, maka rahmat TUHAN akan datang by the time. Saya Yusup Kalla dengan hati tulus ingin menyerukan kepada segenap generasi muda berkualitas dan menyintai tanah Pertiwi ini , Serra rakyat Indonesia, Marilah kita bersama-sama menjadikan KEKUATAN MORAL untuk menghadang serta melawan semua niat jahat mereka yang ingin merusak negeri ini dengan alasan agama, budaya, suku, ras, antara golongan, atau apalah. Kita membela Jokowi bukan bertujuan politik, tetapi demi kekuatan moral sebagai orang Indonesia yang turut membangun dan ingin menjadi bangsa besar bermatabat diatas bumi . Jadilah gerakan moral untuk mendukung Jokowi orang baik yang fitur penyelamat bangsa dan rakyat, agar semakin berprestasi baik bagi pembangunan negeri kita tercinta Indonesia. _SEMOGA BERMANFAAT dan MENAMBAH ILMU serta MENAMBAH WAWASAN KITA SEMUA._ Silahkan bantu viralkan tulisan ini ke seluruh anak negeri Indonesia di mana pun mereka berada, agar putra bangsa kita lebih cerdas dalam berpikir dan menganalisa sesuai data. Yusup Kalla.",Politik,FAKE
